(-0.13875727571288815,-0.7188470506254732) (-0.22451398828979308,-0.7811529493745271) (-0.3102707008666979,-0.7188470506254732) (-0.17151342515381002,-0.6180339887498947) (-0.27751455142577564,-0.6180339887498948) stop stop stop 
(-0.13875727571288815,-0.7188470506254732) (-0.0857567125769054,-0.7360679774997899) (-1.249000902703301e-16,-0.6180339887498953) (-0.13875727571288787,-0.5729490168751575) (-0.17151342515381002,-0.6180339887498947) stop stop stop 
(-0.08575671257690519,-0.6458980337503155) (-2.240903361474064e-16,-0.7082039324993695) (-0.053000563135983045,-0.5450849718747371) (0.08575671257690554,-0.6458980337503152) (0.05300056313598295,-0.545084971874737) stop stop stop 
(-0.13875727571288846,-0.8090169943749475) (-6.295128851584452e-16,-0.8541019662496849) (-2.240903361474064e-16,-0.7082039324993695) stop stop stop stop stop 
(-0.0530005631359833,-0.7811529493745272) (-0.0857567125769056,-0.8819660112501054) (0.05300056313598327,-0.7811529493745265) (0.08575671257690509,-0.8819660112501049) stop stop stop stop 
(-0.0857567125769054,-0.7360679774997899) (-1.249000902703301e-16,-0.6180339887498953) (-0.0530005631359833,-0.7811529493745272) (0.08575671257690523,-0.7360679774997892) (0.05300056313598327,-0.7811529493745265) stop stop stop 
(-0.13875727571288846,-0.8090169943749475) (-6.295128851584452e-16,-0.8541019662496849) (-8.049116928532385e-16,-0.9098300562505263) (-0.13875727571288862,-0.9549150281252631) (-0.08575671257690584,-0.9721359549995797) stop stop stop 
(-0.0857567125769056,-0.8819660112501054) (0.08575671257690509,-0.8819660112501049) stop stop stop stop stop stop 
(-0.13875727571288846,-0.8090169943749475) (-0.31027070086669817,-0.8090169943749473) (-0.2775145514257762,-0.9098300562505258) stop stop stop stop stop 
(-0.13875727571288846,-0.8090169943749475) (-0.22451398828979302,-0.6909830056250523) (-0.31027070086669817,-0.8090169943749473) stop stop stop stop stop 
(-0.22451398828979324,-0.8368810393753682) (-0.22451398828979308,-0.7811529493745271) (-0.36327126400268117,-0.8819660112501049) (-0.36327126400268084,-0.7360679774997895) (-0.3102707008666979,-0.7188470506254732) stop stop stop 
(-0.31027070086669817,-0.8090169943749473) (-0.2775145514257762,-0.9098300562505258) (-0.44902797657958615,-0.854101966249684) (-0.41627182713866384,-0.8090169943749471) stop stop stop stop 
(-0.13875727571288846,-0.8090169943749475) (-0.13875727571288862,-0.9549150281252631) (-0.2775145514257762,-0.9098300562505258) stop stop stop stop stop 
(-0.0857567125769056,-0.8819660112501054) (-0.19175783884887135,-0.8819660112501053) stop stop stop stop stop stop 
(-0.0857567125769056,-0.8819660112501054) stop stop stop stop stop stop stop 
(-0.22451398828979324,-0.8368810393753682) (-0.36327126400268117,-0.8819660112501049) (-0.19175783884887135,-0.8819660112501053) stop stop stop stop stop 
(-0.36327126400268117,-0.8819660112501049) (-0.5020285397155687,-0.781152949374526) stop stop stop stop stop stop 
(-0.36327126400268117,-0.8819660112501049) (-0.36327126400268084,-0.7360679774997895) (-0.5020285397155687,-0.781152949374526) stop stop stop stop stop 
(-0.31027070086669817,-0.8090169943749473) (-0.41627182713866384,-0.8090169943749471) (-0.3632712640026806,-0.6458980337503153) (-0.4490279765795856,-0.708203932499369) stop stop stop stop 
(-0.44902797657958615,-0.854101966249684) (-0.41627182713866384,-0.8090169943749471) (-0.5877852522924736,-0.8090169943749461) (-0.4490279765795856,-0.708203932499369) (-0.5020285397155684,-0.6909830056250523) stop stop stop 
(-0.5020285397155687,-0.781152949374526) (-0.5877852522924731,-0.7188470506254737) stop stop stop stop stop stop 
(-0.22451398828979302,-0.6909830056250523) (-0.31027070086669817,-0.8090169943749473) (-0.3632712640026806,-0.6458980337503153) stop stop stop stop stop 
(-0.13875727571288787,-0.5729490168751575) (-0.17151342515381002,-0.6180339887498947) (-0.13875727571288793,-0.5172209268743163) (-0.22451398828979285,-0.4549150281252626) (-0.27751455142577564,-0.6180339887498948) (-0.31027070086669767,-0.5729490168751575) (-0.3102707008666978,-0.5172209268743162) stop 
(-0.08575671257690519,-0.6458980337503155) (-0.22451398828979277,-0.5450849718747368) (-0.053000563135983045,-0.5450849718747371) stop stop stop stop stop 
(-0.22451398828979302,-0.6909830056250523) (-0.08575671257690519,-0.6458980337503155) (-0.22451398828979277,-0.5450849718747368) stop stop stop stop stop 
(-0.22451398828979277,-0.5450849718747368) (-0.13875727571288785,-0.42705098312484224) (-0.053000563135983045,-0.5450849718747371) stop stop stop stop stop 
(-0.13875727571288793,-0.5172209268743163) (-0.22451398828979285,-0.4549150281252626) (-0.08575671257690495,-0.3541019662496845) (-0.053000563135983045,-0.45491502812526297) stop stop stop stop 
(-0.22451398828979277,-0.5450849718747368) (-0.13875727571288785,-0.42705098312484224) (-0.1715134251538099,-0.38196601125010504) (-0.3102707008666976,-0.42705098312484213) (-0.2775145514257755,-0.38196601125010493) stop stop stop 
(-0.22451398828979285,-0.4549150281252626) (-0.2245139882897926,-0.3090169943749472) (-0.08575671257690495,-0.3541019662496845) stop stop stop stop stop 
(-0.1715134251538099,-0.38196601125010504) (-0.2775145514257755,-0.38196601125010493) (-0.1387572757128877,-0.28115294937452673) (-0.31027070086669684,-0.28115294937452695) (-0.22451398828979235,-0.21884705062547327) stop stop stop 
(-1.249000902703301e-16,-0.6180339887498953) (-0.13875727571288787,-0.5729490168751575) (-0.13875727571288793,-0.5172209268743163) (-2.7755575615628914e-16,-0.47213595499957955) (-0.053000563135983045,-0.45491502812526297) stop stop stop 
(-0.22451398828979302,-0.6909830056250523) (-0.22451398828979277,-0.5450849718747368) (-0.3632712640026806,-0.6458980337503153) stop stop stop stop stop 
(-0.22451398828979277,-0.5450849718747368) (-0.3632712640026806,-0.6458980337503153) (-0.3960274134436025,-0.5450849718747369) stop stop stop stop stop 
(-0.36327126400268084,-0.7360679774997895) (-0.3102707008666979,-0.7188470506254732) (-0.27751455142577564,-0.6180339887498948) (-0.31027070086669767,-0.5729490168751575) (-0.4490279765795855,-0.6180339887498945) stop stop stop 
(-0.3632712640026806,-0.6458980337503153) (-0.4490279765795856,-0.708203932499369) (-0.5020285397155684,-0.6909830056250523) (-0.3960274134436025,-0.5450849718747369) (-0.5020285397155676,-0.5450849718747373) (-0.5347846891564898,-0.6458980337503156) stop stop 
(-0.36327126400268084,-0.7360679774997895) (-0.5020285397155687,-0.781152949374526) (-0.4490279765795855,-0.6180339887498945) stop stop stop stop stop 
(-0.5020285397155687,-0.781152949374526) (-0.4490279765795855,-0.6180339887498945) (-0.5877852522924731,-0.7188470506254737) stop stop stop stop stop 
(-0.22451398828979277,-0.5450849718747368) (-0.3102707008666976,-0.42705098312484213) (-0.3960274134436025,-0.5450849718747369) stop stop stop stop stop 
(-0.22451398828979285,-0.4549150281252626) (-0.3102707008666978,-0.5172209268743162) (-0.3632712640026799,-0.3541019662496845) (-0.3960274134436017,-0.4549150281252631) stop stop stop stop 
(-0.31027070086669767,-0.5729490168751575) (-0.4490279765795855,-0.6180339887498945) (-0.3102707008666978,-0.5172209268743162) (-0.4490279765795846,-0.47213595499957983) (-0.3960274134436017,-0.4549150281252631) stop stop stop 
(-0.22451398828979285,-0.4549150281252626) (-0.2245139882897926,-0.3090169943749472) (-0.3632712640026799,-0.3541019662496845) stop stop stop stop stop 
